SMILES,rdkit_SMILES,Molecular Weight,Molecular Formula,IUPAC chemical name,EPISUITE-compatible SMILES,InChI Code,InChI Key
C[Si](CF)(O)C,C[Si](C)(O)CF,108.187,C3H9FOSi,(fluoromethyl)dimethylsilanol,C[Si](CF)(O)C,"InChI=1S/C3H9FOSi/c1-6(2,5)3-4/h5H,3H2,1-2H3",InChIKey=ACTUQRULWCTKTO-UHFFFAOYSA-N
F[Si](CC)(O)C,CC[Si](C)(O)F,108.187,C3H9FOSi,ethylfluoro(methyl)silanol,F[Si](CC)(O)C,"InChI=1S/C3H9FOSi/c1-3-6(2,4)5/h5H,3H2,1-2H3",InChIKey=XUTQCDUQEJMUKH-UHFFFAOYSA-N
F[Si](C)(OC)C,CO[Si](C)(C)F,108.187,C3H9FOSi,fluoro(methoxy)dimethylsilane,F[Si](C)(OC)C,"InChI=1S/C3H9FOSi/c1-5-6(2,3)4/h1-3H3",InChIKey=IYSWEDXJBQLAJY-UHFFFAOYSA-N
CSSC(C),CCSSC,108.217,C3H8S2,1-ethyl-2-methyldisulfane,CSSC(C),"InChI=1S/C3H8S2/c1-3-5-4-2/h3H2,1-2H3",InChIKey=XLTBPTGNNLIKRW-UHFFFAOYSA-N
SCCSC,CSCCS,108.217,C3H8S2,2-(methylthio)ethane-1-thiol,SCCSC,"InChI=1S/C3H8S2/c1-5-3-2-4/h4H,2-3H2,1H3",InChIKey=SJJZGKUOHPJHDH-UHFFFAOYSA-N
CSCSC,CSCSC,108.217,C3H8S2,bis(methylthio)methane,CSCSC,"InChI=1S/C3H8S2/c1-4-3-5-2/h3H2,1-2H3",InChIKey=LOCDPORVFVOGCR-UHFFFAOYSA-N
SC(C)CS,CC(S)CS,108.217,C3H8S2,"propane-1,2-dithiol",SC(C)CS,"InChI=1S/C3H8S2/c1-3(5)2-4/h3-5H,2H2,1H3",InChIKey=YGKHJWTVMIMEPQ-UHFFFAOYSA-N
SCCCS,SCCCS,108.217,C3H8S2,"propane-1,3-dithiol",SCCCS,"InChI=1S/C3H8S2/c4-2-1-3-5/h4-5H,1-3H2",InChIKey=ZJLMKPKYJBQJNH-UHFFFAOYSA-N
O=PC(Cl)=C,C=C(Cl)P=O,108.461,C2H2ClOP,(1-chlorovinyl)(oxo)phosphane,O=PC(Cl)=C,InChI=1S/C2H2ClOP/c1-2(3)5-4/h1H2,InChIKey=KCEMNDQCXBIZAV-UHFFFAOYSA-N
O=PC=CCl,O=PC=CCl,108.461,C2H2ClOP,(2-chlorovinyl)(oxo)phosphane,O=PC=CCl,InChI=1S/C2H2ClOP/c3-1-2-5-4/h1-2H,InChIKey=DGLQNYWUOYVLSS-UHFFFAOYSA-N
OC(Cl)(F)(C#C),C#CC(O)(F)Cl,108.496,C3H2ClFO,1-chloro-1-fluoroprop-2-yn-1-ol,OC(Cl)(F)(C#C),"InChI=1S/C3H2ClFO/c1-2-3(4,5)6/h1,6H",InChIKey=KCLCVLLJSHWCRL-UHFFFAOYSA-N
OC(Cl)(C#CF),OC(Cl)C#CF,108.496,C3H2ClFO,1-chloro-3-fluoroprop-2-yn-1-ol,OC(Cl)(C#CF),"InChI=1S/C3H2ClFO/c4-3(6)1-2-5/h3,6H",InChIKey=QKMYLXMDGZZXJM-UHFFFAOYSA-N
ClC(F)C1=CO1,FC(Cl)C1=CO1,108.496,C3H2ClFO,2-(chlorofluoromethyl)oxirene,ClC(F)C1=CO1,"InChI=1S/C3H2ClFO/c4-3(5)2-1-6-2/h1,3H",InChIKey=VZRXNIFHSWGOJH-UHFFFAOYSA-N
FC(O1)=C1CCl,FC1=C(CCl)O1,108.496,C3H2ClFO,2-(chloromethyl)-3-fluorooxirene,FC(O1)=C1CCl,InChI=1S/C3H2ClFO/c4-1-2-3(5)6-2/h1H2,InChIKey=GLAATGBBVDRTBZ-UHFFFAOYSA-N
ClC(O1)=C1CF,FCC1=C(Cl)O1,108.496,C3H2ClFO,2-chloro-3-(fluoromethyl)oxirene,ClC(O1)=C1CF,InChI=1S/C3H2ClFO/c4-3-2(1-5)6-3/h1H2,InChIKey=YKRJXBWQZZKDEJ-UHFFFAOYSA-N
C(=O)C(Cl)=C(F),O=CC(Cl)=CF,108.496,C3H2ClFO,2-chloro-3-fluoroacrylaldehyde,C(=O)C(Cl)=C(F),InChI=1S/C3H2ClFO/c4-3(1-5)2-6/h1-2H,InChIKey=YQKNMHDRZKYAQX-UHFFFAOYSA-N
OC(F)(C#CCl),OC(F)C#CCl,108.496,C3H2ClFO,3-chloro-1-fluoroprop-2-yn-1-ol,OC(F)(C#CCl),"InChI=1S/C3H2ClFO/c4-2-1-3(5)6/h3,6H",InChIKey=FAIMCFCMIGIGCB-UHFFFAOYSA-N
C(=O)C(F)=C(Cl),O=CC(F)=CCl,108.496,C3H2ClFO,3-chloro-2-fluoroacrylaldehyde,C(=O)C(F)=C(Cl),InChI=1S/C3H2ClFO/c4-1-3(5)2-6/h1-2H,InChIKey=CDMDFKJVODQKPJ-UHFFFAOYSA-N
C(=O)C=C(Cl)(F),O=CC=C(F)Cl,108.496,C3H2ClFO,3-chloro-3-fluoroacrylaldehyde,C(=O)C=C(Cl)(F),InChI=1S/C3H2ClFO/c4-3(5)1-2-6/h1-2H,InChIKey=CKHJJLYTSBSBSL-UHFFFAOYSA-N
ClC(P)C=C,C=CC(P)Cl,108.505,C3H6ClP,(1-chloroallyl)phosphane,ClC(P)C=C,"InChI=1S/C3H6ClP/c1-2-3(4)5/h2-3H,1,5H2",InChIKey=YEMPHBMCARLASU-UHFFFAOYSA-N
ClC1(P)CC1,PC1(Cl)CC1,108.505,C3H6ClP,(1-chlorocyclopropyl)phosphane,ClC1(P)CC1,"InChI=1S/C3H6ClP/c4-3(5)1-2-3/h1-2,5H2",InChIKey=ICDIFMVHMYDBCS-UHFFFAOYSA-N
CPC(Cl)=C,C=C(Cl)PC,108.505,C3H6ClP,(1-chlorovinyl)(methyl)phosphane,CPC(Cl)=C,"InChI=1S/C3H6ClP/c1-3(4)5-2/h5H,1H2,2H3",InChIKey=RXPNIBIZQPTFDK-UHFFFAOYSA-N
ClC(CP)=C,C=C(Cl)CP,108.505,C3H6ClP,(2-chloroallyl)phosphane,ClC(CP)=C,"InChI=1S/C3H6ClP/c1-3(4)2-5/h1-2,5H2",InChIKey=OQCSSJDXYGGBKV-UHFFFAOYSA-N
ClC1C(P)C1,PC1CC1Cl,108.505,C3H6ClP,(2-chlorocyclopropyl)phosphane,ClC1C(P)C1,"InChI=1S/C3H6ClP/c4-2-1-3(2)5/h2-3H,1,5H2",InChIKey=JCDCFQRHEPGZFF-UHFFFAOYSA-N
CPC=CCl,CPC=CCl,108.505,C3H6ClP,(2-chlorovinyl)(methyl)phosphane,CPC=CCl,"InChI=1S/C3H6ClP/c1-5-3-2-4/h2-3,5H,1H3",InChIKey=GQNYPOBQQQYMOR-UHFFFAOYSA-N
ClC=CCP,PCC=CCl,108.505,C3H6ClP,(3-chloroallyl)phosphane,ClC=CCP,"InChI=1S/C3H6ClP/c4-2-1-3-5/h1-2H,3,5H2",InChIKey=KBIQUNULNDNZNI-UHFFFAOYSA-N
ClCPC=C,C=CPCCl,108.505,C3H6ClP,(chloromethyl)(vinyl)phosphane,ClCPC=C,"InChI=1S/C3H6ClP/c1-2-5-3-4/h2,5H,1,3H2",InChIKey=ZPUOXLBFEZHJCT-UHFFFAOYSA-N
ClCP1CC1,ClCP1CC1,108.505,C3H6ClP,1-(chloromethyl)phosphirane,ClCP1CC1,InChI=1S/C3H6ClP/c4-3-5-1-2-5/h1-3H2,InChIKey=AGGZHQPCPTXRTK-UHFFFAOYSA-N
CP1C(Cl)C1,CP1CC1Cl,108.505,C3H6ClP,2-chloro-1-methylphosphirane,CP1C(Cl)C1,"InChI=1S/C3H6ClP/c1-5-2-3(5)4/h3H,2H2,1H3",InChIKey=RLIBZIOWNQSFQT-UHFFFAOYSA-N
ClC1CCP1,ClC1CCP1,108.505,C3H6ClP,2-chlorophosphetane,ClC1CCP1,"InChI=1S/C3H6ClP/c4-3-1-2-5-3/h3,5H,1-2H2",InChIKey=IMQKBMRQFNMCRQ-UHFFFAOYSA-N
ClC1CPC1,ClC1CPC1,108.505,C3H6ClP,3-chlorophosphetane,ClC1CPC1,"InChI=1S/C3H6ClP/c4-3-1-5-2-3/h3,5H,1-2H2",InChIKey=ZOGLVMOAZCPDCL-UHFFFAOYSA-N
OC(=O)C(Cl)(C),CC(Cl)C(=O)O,108.521,C3H5ClO2,2-chloropropanoic acid,OC(=O)C(Cl)(C),"InChI=1S/C3H5ClO2/c1-2(4)3(5)6/h2H,1H3,(H,5,6)",InChIKey=GAWAYYRQGQZKCR-UHFFFAOYSA-N
OC(CCCl)=O,O=C(O)CCCl,108.521,C3H5ClO2,3-chloropropanoic acid,OC(CCCl)=O,"InChI=1S/C3H5ClO2/c4-2-1-3(5)6/h1-2H2,(H,5,6)",InChIKey=QEYMMOKECZBKAC-UHFFFAOYSA-N
ClCOC(C)=O,CC(=O)OCCl,108.521,C3H5ClO2,chloromethyl acetate,ClCOC(C)=O,"InChI=1S/C3H5ClO2/c1-3(5)6-2-4/h2H2,1H3",InChIKey=SMJYMSAPPGLBAR-UHFFFAOYSA-N
COC(CCl)=O,COC(=O)CCl,108.521,C3H5ClO2,methyl 2-chloroacetate,COC(CCl)=O,"InChI=1S/C3H5ClO2/c1-6-3(5)2-4/h2H2,1H3",InChIKey=QABLOFMHHSOFRJ-UHFFFAOYSA-N
NC(NCCl)=O,NC(=O)NCCl,108.525,C2H5ClN2O,1-(chloromethyl)urea,NC(NCCl)=O,"InChI=1S/C2H5ClN2O/c3-1-5-2(4)6/h1H2,(H3,4,5,6)",InChIKey=HVABYIJGGXCBPM-UHFFFAOYSA-N
C(C(Cl)F)(C1)(C1),FC(Cl)C1CC1,108.54,C4H6ClF,(chlorofluoromethyl)cyclopropane,C(C(Cl)F)(C1)(C1),"InChI=1S/C4H6ClF/c5-4(6)3-1-2-3/h3-4H,1-2H2",InChIKey=ZHTSOOGMIDFVOO-UHFFFAOYSA-N
C(F)(CCl)(C1)(C1),FC1(CCl)CC1,108.54,C4H6ClF,1-(chloromethyl)-1-fluorocyclopropane,C(F)(CCl)(C1)(C1),InChI=1S/C4H6ClF/c5-3-4(6)1-2-4/h1-3H2,InChIKey=LJIYNTJYTWBWPX-UHFFFAOYSA-N
C(CCl)(C1)(C1F),FC1CC1CCl,108.54,C4H6ClF,1-(chloromethyl)-2-fluorocyclopropane,C(CCl)(C1)(C1F),"InChI=1S/C4H6ClF/c5-2-3-1-4(3)6/h3-4H,1-2H2",InChIKey=AJCXYMLZNZZNLG-UHFFFAOYSA-N
C(Cl)(CF)(C1)(C1),FCC1(Cl)CC1,108.54,C4H6ClF,1-chloro-1-(fluoromethyl)cyclopropane,C(Cl)(CF)(C1)(C1),InChI=1S/C4H6ClF/c5-4(3-6)1-2-4/h1-3H2,InChIKey=WWUSTUHHQBQWJM-UHFFFAOYSA-N
C(C)(C1)(C1(Cl)F),CC1CC1(F)Cl,108.54,C4H6ClF,1-chloro-1-fluoro-2-methylcyclopropane,C(C)(C1)(C1(Cl)F),"InChI=1S/C4H6ClF/c1-3-2-4(3,5)6/h3H,2H2,1H3",InChIKey=HUQPAZBIVXDEAP-UHFFFAOYSA-N
C(Cl)(F)=C(C)(C),CC(C)=C(F)Cl,108.54,C4H6ClF,1-chloro-1-fluoro-2-methylprop-1-ene,C(Cl)(F)=C(C)(C),InChI=1S/C4H6ClF/c1-3(2)4(5)6/h1-2H3,InChIKey=ATUBEBIFFRXFRV-UHFFFAOYSA-N
C(CC=C(Cl)F),CCC=C(F)Cl,108.54,C4H6ClF,1-chloro-1-fluorobut-1-ene,C(CC=C(Cl)F),"InChI=1S/C4H6ClF/c1-2-3-4(5)6/h3H,2H2,1H3",InChIKey=KQBWUCNIYWMKEK-UHFFFAOYSA-N
C(C)=C(C(Cl)F),CC=CC(F)Cl,108.54,C4H6ClF,1-chloro-1-fluorobut-2-ene,C(C)=C(C(Cl)F),"InChI=1S/C4H6ClF/c1-2-3-4(5)6/h2-4H,1H3",InChIKey=CJHUXOHANJGGAW-UHFFFAOYSA-N
C(C1)(CC1(Cl)F),FC1(Cl)CCC1,108.54,C4H6ClF,1-chloro-1-fluorocyclobutane,C(C1)(CC1(Cl)F),InChI=1S/C4H6ClF/c5-4(6)2-1-3-4/h1-3H2,InChIKey=JEKSYLNKTQNPOC-UHFFFAOYSA-N
C(CF)(C1)(C1Cl),FCC1CC1Cl,108.54,C4H6ClF,1-chloro-2-(fluoromethyl)cyclopropane,C(CF)(C1)(C1Cl),"InChI=1S/C4H6ClF/c5-4-1-3(4)2-6/h3-4H,1-2H2",InChIKey=MEEPMFVVUHYTGB-UHFFFAOYSA-N
C(Cl)(C)(C1)(C1F),CC1(Cl)CC1F,108.54,C4H6ClF,1-chloro-2-fluoro-1-methylcyclopropane,C(Cl)(C)(C1)(C1F),"InChI=1S/C4H6ClF/c1-4(5)2-3(4)6/h3H,2H2,1H3",InChIKey=ZONLWMMAKOZIOM-UHFFFAOYSA-N
C(C)(C1Cl)(C1F),CC1C(F)C1Cl,108.54,C4H6ClF,1-chloro-2-fluoro-3-methylcyclopropane,C(C)(C1Cl)(C1F),"InChI=1S/C4H6ClF/c1-2-3(5)4(2)6/h2-4H,1H3",InChIKey=YTZGOVLXLBQGFH-UHFFFAOYSA-N
C(CC(F)=CCl),CCC(F)=CCl,108.54,C4H6ClF,1-chloro-2-fluorobut-1-ene,C(CC(F)=CCl),"InChI=1S/C4H6ClF/c1-2-4(6)3-5/h3H,2H2,1H3",InChIKey=RNSSKCFDVSPUOU-UHFFFAOYSA-N
C(C)=C(F)(CCl),CC=C(F)CCl,108.54,C4H6ClF,1-chloro-2-fluorobut-2-ene,C(C)=C(F)(CCl),"InChI=1S/C4H6ClF/c1-2-4(6)3-5/h2H,3H2,1H3",InChIKey=DWQXLNQQOMTVNA-UHFFFAOYSA-N
C(C1)(C(Cl)C1F),FC1CCC1Cl,108.54,C4H6ClF,1-chloro-2-fluorocyclobutane,C(C1)(C(Cl)C1F),"InChI=1S/C4H6ClF/c5-3-1-2-4(3)6/h3-4H,1-2H2",InChIKey=AVOHEKMNXOHKKI-UHFFFAOYSA-N
C(Cl)=C(C)(CF),CC(=CCl)CF,108.54,C4H6ClF,1-chloro-3-fluoro-2-methylprop-1-ene,C(Cl)=C(C)(CF),"InChI=1S/C4H6ClF/c1-4(2-5)3-6/h2H,3H2,1H3",InChIKey=BYRWQFQHUWEBGH-UHFFFAOYSA-N
C(C(F)C=CCl),CC(F)C=CCl,108.54,C4H6ClF,1-chloro-3-fluorobut-1-ene,C(C(F)C=CCl),"InChI=1S/C4H6ClF/c1-4(6)2-3-5/h2-4H,1H3",InChIKey=AVJUIEYDVDKSOB-UHFFFAOYSA-N
C(CCl)=C(F)(C),CC(F)=CCCl,108.54,C4H6ClF,1-chloro-3-fluorobut-2-ene,C(CCl)=C(F)(C),"InChI=1S/C4H6ClF/c1-4(6)2-3-5/h2H,3H2,1H3",InChIKey=CVLVZXYSVSBLFP-UHFFFAOYSA-N
C(C1Cl)(C(F)C1),FC1CC(Cl)C1,108.54,C4H6ClF,1-chloro-3-fluorocyclobutane,C(C1Cl)(C(F)C1),"InChI=1S/C4H6ClF/c5-3-1-4(6)2-3/h3-4H,1-2H2",InChIKey=ISJXTUPGLMCONU-UHFFFAOYSA-N
C(F)(CC=CCl),FCCC=CCl,108.54,C4H6ClF,1-chloro-4-fluorobut-1-ene,C(F)(CC=CCl),"InChI=1S/C4H6ClF/c5-3-1-2-4-6/h1,3H,2,4H2",InChIKey=KBOZTFSWDIQBHY-UHFFFAOYSA-N
C(CCl)=C(CF),FCC=CCCl,108.54,C4H6ClF,1-chloro-4-fluorobut-2-ene,C(CCl)=C(CF),"InChI=1S/C4H6ClF/c5-3-1-2-4-6/h1-2H,3-4H2",InChIKey=NOGAZGUQYRRVNB-UHFFFAOYSA-N
C(F)(C)(C1)(C1Cl),CC1(F)CC1Cl,108.54,C4H6ClF,2-chloro-1-fluoro-1-methylcyclopropane,C(F)(C)(C1)(C1Cl),"InChI=1S/C4H6ClF/c1-4(6)2-3(4)5/h3H,2H2,1H3",InChIKey=YBWMOEZBBKDTLO-UHFFFAOYSA-N
C(CC(Cl)=CF),CCC(Cl)=CF,108.54,C4H6ClF,2-chloro-1-fluorobut-1-ene,C(CC(Cl)=CF),"InChI=1S/C4H6ClF/c1-2-4(5)3-6/h3H,2H2,1H3",InChIKey=VWDUUPGUUWJARJ-UHFFFAOYSA-N
C(C)=C(Cl)(CF),CC=C(Cl)CF,108.54,C4H6ClF,2-chloro-1-fluorobut-2-ene,C(C)=C(Cl)(CF),"InChI=1S/C4H6ClF/c1-2-4(5)3-6/h2H,3H2,1H3",InChIKey=TYFKOKYVFFRTFF-UHFFFAOYSA-N
C(C(F)C(Cl)=C),C=C(Cl)C(C)F,108.54,C4H6ClF,2-chloro-3-fluorobut-1-ene,C(C(F)C(Cl)=C),"InChI=1S/C4H6ClF/c1-3(5)4(2)6/h4H,1H2,2H3",InChIKey=COIIYSHDVOHUMR-UHFFFAOYSA-N
C(Cl)(C)=C(F)(C),CC(F)=C(C)Cl,108.54,C4H6ClF,2-chloro-3-fluorobut-2-ene,C(Cl)(C)=C(F)(C),InChI=1S/C4H6ClF/c1-3(5)4(2)6/h1-2H3,InChIKey=FBDWMWLJJGFWIP-UHFFFAOYSA-N
C(F)(CC(Cl)=C),C=C(Cl)CCF,108.54,C4H6ClF,2-chloro-4-fluorobut-1-ene,C(F)(CC(Cl)=C),InChI=1S/C4H6ClF/c1-4(5)2-3-6/h1-3H2,InChIKey=YVKAKBGMSYUQDZ-UHFFFAOYSA-N
C(F)=C(C)(CCl),CC(=CF)CCl,108.54,C4H6ClF,3-chloro-1-fluoro-2-methylprop-1-ene,C(F)=C(C)(CCl),"InChI=1S/C4H6ClF/c1-4(2-5)3-6/h3H,2H2,1H3",InChIKey=JXOJXOKXMSQASP-UHFFFAOYSA-N
C(C(Cl)C=CF),CC(Cl)C=CF,108.54,C4H6ClF,3-chloro-1-fluorobut-1-ene,C(C(Cl)C=CF),"InChI=1S/C4H6ClF/c1-4(5)2-3-6/h2-4H,1H3",InChIKey=ZXAUDVFVQGVRKD-UHFFFAOYSA-N
C(CF)=C(Cl)(C),CC(Cl)=CCF,108.54,C4H6ClF,3-chloro-1-fluorobut-2-ene,C(CF)=C(Cl)(C),"InChI=1S/C4H6ClF/c1-4(5)2-3-6/h2H,3H2,1H3",InChIKey=DGDNQZZGSWFBEV-UHFFFAOYSA-N
C=C(CCl)(CF),C=C(CF)CCl,108.54,C4H6ClF,3-chloro-2-(fluoromethyl)prop-1-ene,C=C(CCl)(CF),InChI=1S/C4H6ClF/c1-4(2-5)3-6/h1-3H2,InChIKey=LPVAUXPEOCMFRJ-UHFFFAOYSA-N
C(C(Cl)C(F)=C),C=C(F)C(C)Cl,108.54,C4H6ClF,3-chloro-2-fluorobut-1-ene,C(C(Cl)C(F)=C),"InChI=1S/C4H6ClF/c1-3(5)4(2)6/h3H,2H2,1H3",InChIKey=IFEZBLVXSBAPME-UHFFFAOYSA-N
C=C(C)(C(Cl)F),C=C(C)C(F)Cl,108.54,C4H6ClF,3-chloro-3-fluoro-2-methylprop-1-ene,C=C(C)(C(Cl)F),"InChI=1S/C4H6ClF/c1-3(2)4(5)6/h4H,1H2,2H3",InChIKey=QNNOATDOGBXXLX-UHFFFAOYSA-N
C(C(Cl)(F)C=C),C=CC(C)(F)Cl,108.54,C4H6ClF,3-chloro-3-fluorobut-1-ene,C(C(Cl)(F)C=C),"InChI=1S/C4H6ClF/c1-3-4(2,5)6/h3H,1H2,2H3",InChIKey=GKCKOPVVEXDLNH-UHFFFAOYSA-N
C(F)(C(Cl)C=C),C=CC(Cl)CF,108.54,C4H6ClF,3-chloro-4-fluorobut-1-ene,C(F)(C(Cl)C=C),"InChI=1S/C4H6ClF/c1-2-4(5)3-6/h2,4H,1,3H2",InChIKey=IWYQLMCFZSKRLL-UHFFFAOYSA-N
C(Cl)(CC=CF),FC=CCCCl,108.54,C4H6ClF,4-chloro-1-fluorobut-1-ene,C(Cl)(CC=CF),"InChI=1S/C4H6ClF/c5-3-1-2-4-6/h2,4H,1,3H2",InChIKey=SDLIRNQSXWUCPX-UHFFFAOYSA-N
C(Cl)(CC(F)=C),C=C(F)CCCl,108.54,C4H6ClF,4-chloro-2-fluorobut-1-ene,C(Cl)(CC(F)=C),InChI=1S/C4H6ClF/c1-4(6)2-3-5/h1-3H2,InChIKey=BDQXLYQZAWJJOJ-UHFFFAOYSA-N
C(Cl)(C(F)C=C),C=CC(F)CCl,108.54,C4H6ClF,4-chloro-3-fluorobut-1-ene,C(Cl)(C(F)C=C),"InChI=1S/C4H6ClF/c1-2-4(6)3-5/h2,4H,1,3H2",InChIKey=DMOWUCLLXTXPIV-UHFFFAOYSA-N
C(Cl)(F)(CC=C),C=CCC(F)Cl,108.54,C4H6ClF,4-chloro-4-fluorobut-1-ene,C(Cl)(F)(CC=C),"InChI=1S/C4H6ClF/c1-2-3-4(5)6/h2,4H,1,3H2",InChIKey=UHKMXCKTOSGZQD-UHFFFAOYSA-N
ClCOCCC,CCCOCCl,108.565,C4H9ClO,1-(chloromethoxy)propane,ClCOCCC,"InChI=1S/C4H9ClO/c1-2-3-6-4-5/h2-4H2,1H3",InChIKey=VHUQXPJHMISKGS-UHFFFAOYSA-N
CCOC(C)Cl,CCOC(C)Cl,108.565,C4H9ClO,1-chloro-1-ethoxyethane,CCOC(C)Cl,"InChI=1S/C4H9ClO/c1-3-6-4(2)5/h4H,3H2,1-2H3",InChIKey=URGLIMIKUNFFMT-UHFFFAOYSA-N
COC(CC)Cl,CCC(Cl)OC,108.565,C4H9ClO,1-chloro-1-methoxypropane,COC(CC)Cl,"InChI=1S/C4H9ClO/c1-3-4(5)6-2/h4H,3H2,1-2H3",InChIKey=YROGWJLGNLJNOK-UHFFFAOYSA-N
CCOCCCl,CCOCCCl,108.565,C4H9ClO,1-chloro-2-ethoxyethane,CCOCCCl,"InChI=1S/C4H9ClO/c1-2-6-4-3-5/h2-4H2,1H3",InChIKey=GPTVQTPMFOLLOA-UHFFFAOYSA-N
COC(CCl)C,COC(C)CCl,108.565,C4H9ClO,1-chloro-2-methoxypropane,COC(CCl)C,"InChI=1S/C4H9ClO/c1-4(3-5)6-2/h4H,3H2,1-2H3",InChIKey=YSZGJULIUWQDME-UHFFFAOYSA-N
OC(C(C)C)Cl,CC(C)C(O)Cl,108.565,C4H9ClO,1-chloro-2-methylpropan-1-ol,OC(C(C)C)Cl,"InChI=1S/C4H9ClO/c1-3(2)4(5)6/h3-4,6H,1-2H3",InChIKey=AOJDYHPMTWFQDA-UHFFFAOYSA-N
OC(C)(CCl)C,CC(C)(O)CCl,108.565,C4H9ClO,1-chloro-2-methylpropan-2-ol,OC(C)(CCl)C,"InChI=1S/C4H9ClO/c1-4(2,6)3-5/h6H,3H2,1-2H3",InChIKey=JNOZGFXJZQXOSU-UHFFFAOYSA-N
COCCCCl,COCCCCl,108.565,C4H9ClO,1-chloro-3-methoxypropane,COCCCCl,"InChI=1S/C4H9ClO/c1-6-4-2-3-5/h2-4H2,1H3",InChIKey=BQLHMMQUVJCTAN-UHFFFAOYSA-N
OC(CCC)Cl,CCCC(O)Cl,108.565,C4H9ClO,1-chlorobutan-1-ol,OC(CCC)Cl,"InChI=1S/C4H9ClO/c1-2-3-4(5)6/h4,6H,2-3H2,1H3",InChIKey=LVZIWKFQFKNSMO-UHFFFAOYSA-N
OC(CC)CCl,CCC(O)CCl,108.565,C4H9ClO,1-chlorobutan-2-ol,OC(CC)CCl,"InChI=1S/C4H9ClO/c1-2-4(6)3-5/h4,6H,2-3H2,1H3",InChIKey=VNBFUGOVQMFIRN-UHFFFAOYSA-N
ClCOC(C)C,CC(C)OCCl,108.565,C4H9ClO,2-(chloromethoxy)propane,ClCOC(C)C,"InChI=1S/C4H9ClO/c1-4(2)6-3-5/h4H,3H2,1-2H3",InChIKey=GSGPUGZLDGHFDO-UHFFFAOYSA-N
COCC(C)Cl,COCC(C)Cl,108.565,C4H9ClO,2-chloro-1-methoxypropane,COCC(C)Cl,"InChI=1S/C4H9ClO/c1-4(5)3-6-2/h4H,3H2,1-2H3",InChIKey=SIBFNWWZWOVJJH-UHFFFAOYSA-N
COC(C)(C)Cl,COC(C)(C)Cl,108.565,C4H9ClO,2-chloro-2-methoxypropane,COC(C)(C)Cl,"InChI=1S/C4H9ClO/c1-4(2,5)6-3/h1-3H3",InChIKey=UIDDHBVQWPHZHF-UHFFFAOYSA-N
OCC(C)(C)Cl,CC(C)(Cl)CO,108.565,C4H9ClO,2-chloro-2-methylpropan-1-ol,OCC(C)(C)Cl,"InChI=1S/C4H9ClO/c1-4(2,5)3-6/h6H,3H2,1-2H3",InChIKey=LGGQZLUXBPHXTB-UHFFFAOYSA-N
OCC(CC)Cl,CCC(Cl)CO,108.565,C4H9ClO,2-chlorobutan-1-ol,OCC(CC)Cl,"InChI=1S/C4H9ClO/c1-2-4(5)3-6/h4,6H,2-3H2,1H3",InChIKey=FTOKYBLHOYVORA-UHFFFAOYSA-N
OC(C)(CC)Cl,CCC(C)(O)Cl,108.565,C4H9ClO,2-chlorobutan-2-ol,OC(C)(CC)Cl,"InChI=1S/C4H9ClO/c1-3-4(2,5)6/h6H,3H2,1-2H3",InChIKey=UDZGHTHYVWDFFY-UHFFFAOYSA-N
OCC(C)(CCl),CC(CO)CCl,108.565,C4H9ClO,3-chloro-2-methylpropan-1-ol,OCC(C)(CCl),"InChI=1S/C4H9ClO/c1-4(2-5)3-6/h4,6H,2-3H2,1H3",InChIKey=NQULNQFAEYXUJJ-UHFFFAOYSA-N
OCCC(C)Cl,CC(Cl)CCO,108.565,C4H9ClO,3-chlorobutan-1-ol,OCCC(C)Cl,"InChI=1S/C4H9ClO/c1-4(5)2-3-6/h4,6H,2-3H2,1H3",InChIKey=UTBUFLARLRSVFF-UHFFFAOYSA-N
OC(C(C)Cl)C,CC(O)C(C)Cl,108.565,C4H9ClO,3-chlorobutan-2-ol,OC(C(C)Cl)C,"InChI=1S/C4H9ClO/c1-3(5)4(2)6/h3-4,6H,1-2H3",InChIKey=XKEHIUIIEXXHJX-UHFFFAOYSA-N
OC(CCCCl),OCCCCCl,108.565,C4H9ClO,4-chlorobutan-1-ol,OC(CCCCl),"InChI=1S/C4H9ClO/c5-3-1-2-4-6/h6H,1-4H2",InChIKey=HXHGULXINZUGJX-UHFFFAOYSA-N
OC(CCCl)C,CC(O)CCCl,108.565,C4H9ClO,4-chlorobutan-2-ol,OC(CCCl)C,"InChI=1S/C4H9ClO/c1-4(6)2-3-5/h4,6H,2-3H2,1H3",InChIKey=AKMIPCJUTXDZKR-UHFFFAOYSA-N
NNC(CCl)C,CC(CCl)NN,108.569,C3H9ClN2,(1-chloropropan-2-yl)hydrazine,NNC(CCl)C,"InChI=1S/C3H9ClN2/c1-3(2-4)6-5/h3,6H,2,5H2,1H3",InChIKey=DBWSPOJEXWQKEC-UHFFFAOYSA-N
NNC(CC)Cl,CCC(Cl)NN,108.569,C3H9ClN2,(1-chloropropyl)hydrazine,NNC(CC)Cl,"InChI=1S/C3H9ClN2/c1-2-3(4)6-5/h3,6H,2,5H2,1H3",InChIKey=LPIJBOPDZDUFCW-UHFFFAOYSA-N
NNC(C)(C)Cl,CC(C)(Cl)NN,108.569,C3H9ClN2,(2-chloropropan-2-yl)hydrazine,NNC(C)(C)Cl,"InChI=1S/C3H9ClN2/c1-3(2,4)6-5/h6H,5H2,1-2H3",InChIKey=QCLDXPJFTMZENJ-UHFFFAOYSA-N
