SMILES,rdkit_SMILES,Molecular Weight,Molecular Formula,IUPAC chemical name,EPISUITE-compatible SMILES,InChI Code,InChI Key
PC(Cl)=C(Br)F,FC(Br)=C(P)Cl,191.364,C2H2BrClFP,(2-bromo-1-chloro-2-fluorovinyl)phosphane,PC(Cl)=C(Br)F,InChI=1S/C2H2BrClFP/c3-1(5)2(4)6/h6H2,InChIKey=OOLOMLCBPGDUOQ-UHFFFAOYSA-N
PC(F)=C(Br)Cl,FC(P)=C(Cl)Br,191.364,C2H2BrClFP,(2-bromo-2-chloro-1-fluorovinyl)phosphane,PC(F)=C(Br)Cl,InChI=1S/C2H2BrClFP/c3-1(4)2(5)6/h6H2,InChIKey=ONHIXIGQSOIWFU-UHFFFAOYSA-N
FC1C(Cl)(Br)P1,FC1PC1(Cl)Br,191.364,C2H2BrClFP,2-bromo-2-chloro-3-fluorophosphirane,FC1C(Cl)(Br)P1,"InChI=1S/C2H2BrClFP/c3-2(4)1(5)6-2/h1,6H",InChIKey=MRGIATHERRWXJK-UHFFFAOYSA-N
ClC1C(F)(Br)P1,FC1(Br)PC1Cl,191.364,C2H2BrClFP,2-bromo-3-chloro-2-fluorophosphirane,ClC1C(F)(Br)P1,"InChI=1S/C2H2BrClFP/c3-2(5)1(4)6-2/h1,6H",InChIKey=XDMCGRIACRXSKS-UHFFFAOYSA-N
BrC1C(F)(Cl)P1,FC1(Cl)PC1Br,191.364,C2H2BrClFP,3-bromo-2-chloro-2-fluorophosphirane,BrC1C(F)(Cl)P1,"InChI=1S/C2H2BrClFP/c3-1-2(4,5)6-1/h1,6H",InChIKey=XCVNGJUUZGUDDN-UHFFFAOYSA-N
BrC(POC)Cl,COPC(Cl)Br,191.389,C2H5BrClOP,(bromochloromethyl)(methoxy)phosphane,BrC(POC)Cl,"InChI=1S/C2H5BrClOP/c1-5-6-2(3)4/h2,6H,1H3",InChIKey=TZLNZDODDFHROZ-UHFFFAOYSA-N
O=P(C)C(Br)Cl,C[PH](=O)C(Cl)Br,191.389,C2H5BrClOP,(bromochloromethyl)(methyl)phosphine oxide,O=P(C)C(Br)Cl,"InChI=1S/C2H5BrClOP/c1-6(5)2(3)4/h2,6H,1H3",InChIKey=LBGNFGKRQVIMAL-UHFFFAOYSA-N
O=P(CCl)CBr,O=[PH](CCl)CBr,191.389,C2H5BrClOP,(bromomethyl)(chloromethyl)phosphine oxide,O=P(CCl)CBr,"InChI=1S/C2H5BrClOP/c3-1-6(5)2-4/h6H,1-2H2",InChIKey=OPRXJRUQOASIIR-UHFFFAOYSA-N
NC(Cl)(I),NC(Cl)I,191.396,CH3ClIN,chloroiodomethanamine,NC(Cl)(I),"InChI=1S/CH3ClIN/c2-1(3)4/h1H,4H2",InChIKey=BFNCBHOJPMCZAS-UHFFFAOYSA-N
FC1C(Br)(Cl)S1,FC1SC1(Cl)Br,191.442,C2HBrClFS,2-bromo-2-chloro-3-fluorothiirane,FC1C(Br)(Cl)S1,InChI=1S/C2HBrClFS/c3-2(4)1(5)6-2/h1H,InChIKey=SQLDIRXOALIFOE-UHFFFAOYSA-N
ClC1C(Br)(F)S1,FC1(Br)SC1Cl,191.442,C2HBrClFS,2-bromo-3-chloro-2-fluorothiirane,ClC1C(Br)(F)S1,InChI=1S/C2HBrClFS/c3-2(5)1(4)6-2/h1H,InChIKey=ZUIWNJNIZOSSML-UHFFFAOYSA-N
BrC1C(Cl)(F)S1,FC1(Cl)SC1Br,191.442,C2HBrClFS,3-bromo-2-chloro-2-fluorothiirane,BrC1C(Cl)(F)S1,"InChI=1S/C2HBrClFS/c3-1-2(4,5)6-1/h1H",InChIKey=XKVDCAITRLQVFI-UHFFFAOYSA-N
C(Br)(Br)(F),FC(Br)Br,191.825,CHBr2F,dibromofluoromethane,C(Br)(Br)(F),InChI=1S/CHBr2F/c2-1(3)4/h1H,InChIKey=LTUTVFXOEGMHMP-UHFFFAOYSA-N
C(=O)C(Br)(Cl)(Cl),O=CC(Cl)(Cl)Br,191.833,C2HBrCl2O,"2-bromo-2,2-dichloroacetaldehyde",C(=O)C(Br)(Cl)(Cl),"InChI=1S/C2HBrCl2O/c3-2(4,5)1-6/h1H",InChIKey=VHCWNORMONAZKG-UHFFFAOYSA-N
ClC1C(Br)(Cl)O1,ClC1OC1(Cl)Br,191.833,C2HBrCl2O,"2-bromo-2,3-dichlorooxirane",ClC1C(Br)(Cl)O1,InChI=1S/C2HBrCl2O/c3-2(5)1(4)6-2/h1H,InChIKey=YCMATOICPKEZKG-UHFFFAOYSA-N
BrC1C(Cl)(Cl)O1,ClC1(Cl)OC1Br,191.833,C2HBrCl2O,"3-bromo-2,2-dichlorooxirane",BrC1C(Cl)(Cl)O1,"InChI=1S/C2HBrCl2O/c3-1-2(4,5)6-1/h1H",InChIKey=JPYTXFZWWXTNKW-UHFFFAOYSA-N
CCC(Cl)(Cl)Br,CCC(Cl)(Cl)Br,191.877,C3H5BrCl2,"1-bromo-1,1-dichloropropane",CCC(Cl)(Cl)Br,"InChI=1S/C3H5BrCl2/c1-2-3(4,5)6/h2H2,1H3",InChIKey=RPVDFCUXXDIZCH-UHFFFAOYSA-N
CC(C(Cl)Br)Cl,CC(Cl)C(Cl)Br,191.877,C3H5BrCl2,"1-bromo-1,2-dichloropropane",CC(C(Cl)Br)Cl,"InChI=1S/C3H5BrCl2/c1-2(5)3(4)6/h2-3H,1H3",InChIKey=JUJFMLWMVKDEHI-UHFFFAOYSA-N
C(Cl)(CC(Br)Cl),ClCCC(Cl)Br,191.877,C3H5BrCl2,"1-bromo-1,3-dichloropropane",C(Cl)(CC(Br)Cl),"InChI=1S/C3H5BrCl2/c4-3(6)1-2-5/h3H,1-2H2",InChIKey=FYTOHQVGQPKKTD-UHFFFAOYSA-N
CC(Cl)(CBr)Cl,CC(Cl)(Cl)CBr,191.877,C3H5BrCl2,"1-bromo-2,2-dichloropropane",CC(Cl)(CBr)Cl,"InChI=1S/C3H5BrCl2/c1-3(5,6)2-4/h2H2,1H3",InChIKey=YUPJXMPHJYZIRW-UHFFFAOYSA-N
C(Cl)(C(Cl)CBr),ClCC(Cl)CBr,191.877,C3H5BrCl2,"1-bromo-2,3-dichloropropane",C(Cl)(C(Cl)CBr),"InChI=1S/C3H5BrCl2/c4-1-3(6)2-5/h3H,1-2H2",InChIKey=CSZDDLQVWPKXTC-UHFFFAOYSA-N
CC(C(Cl)Cl)Br,CC(Br)C(Cl)Cl,191.877,C3H5BrCl2,"2-bromo-1,1-dichloropropane",CC(C(Cl)Cl)Br,"InChI=1S/C3H5BrCl2/c1-2(4)3(5)6/h2-3H,1H3",InChIKey=IPJIVVBEXFDZMD-UHFFFAOYSA-N
CC(Cl)(CCl)Br,CC(Cl)(Br)CCl,191.877,C3H5BrCl2,"2-bromo-1,2-dichloropropane",CC(Cl)(CCl)Br,"InChI=1S/C3H5BrCl2/c1-3(4,6)2-5/h2H2,1H3",InChIKey=AUTDPWYMNRAXHM-UHFFFAOYSA-N
C(Cl)(C(Br)CCl),ClCC(Br)CCl,191.877,C3H5BrCl2,"2-bromo-1,3-dichloropropane",C(Cl)(C(Br)CCl),"InChI=1S/C3H5BrCl2/c4-3(1-5)2-6/h3H,1-2H2",InChIKey=PVYQWLHAHRIROF-UHFFFAOYSA-N
C(Br)(CC(Cl)Cl),ClC(Cl)CCBr,191.877,C3H5BrCl2,"3-bromo-1,1-dichloropropane",C(Br)(CC(Cl)Cl),"InChI=1S/C3H5BrCl2/c4-2-1-3(5)6/h3H,1-2H2",InChIKey=BNBJWYVNNOQIRB-UHFFFAOYSA-N
PC(F)I,FC(P)I,191.912,CH3FIP,(fluoroiodomethyl)phosphane,PC(F)I,"InChI=1S/CH3FIP/c2-1(3)4/h1H,4H2",InChIKey=MSGACGSXYPNVPZ-UHFFFAOYSA-N
C(C(F)(F)I),CC(F)(F)I,191.947,C2H3F2I,"1,1-difluoro-1-iodoethane",C(C(F)(F)I),"InChI=1S/C2H3F2I/c1-2(3,4)5/h1H3",InChIKey=LBRHUMBEGYYRBE-UHFFFAOYSA-N
C(I)(C(F)F),FC(F)CI,191.947,C2H3F2I,"1,1-difluoro-2-iodoethane",C(I)(C(F)F),"InChI=1S/C2H3F2I/c3-2(4)1-5/h2H,1H2",InChIKey=VMFCTZUYOILUMY-UHFFFAOYSA-N
C(F)(C(F)I),FCC(F)I,191.947,C2H3F2I,"1,2-difluoro-1-iodoethane",C(F)(C(F)I),"InChI=1S/C2H3F2I/c3-1-2(4)5/h2H,1H2",InChIKey=XHMJGNMNFYVRFR-UHFFFAOYSA-N
IC#CC1=CO1,IC#CC1=CO1,191.955,C4HIO,2-(iodoethynyl)oxirene,IC#CC1=CO1,InChI=1S/C4HIO/c5-2-1-4-3-6-4/h3H,InChIKey=GYUAUANRESKBLX-UHFFFAOYSA-N
IC(O1)=C1C#C,C#CC1=C(I)O1,191.955,C4HIO,2-ethynyl-3-iodooxirene,IC(O1)=C1C#C,InChI=1S/C4HIO/c1-2-3-4(5)6-3/h1H,InChIKey=FHFVEOLOEONEAD-UHFFFAOYSA-N
SC(F)(I),FC(S)I,191.99,CH2FIS,fluoroiodomethanethiol,SC(F)(I),"InChI=1S/CH2FIS/c2-1(3)4/h1,4H",InChIKey=PXBACFXLPLRQOM-UHFFFAOYSA-N
IC#CC1CC1,IC#CC1CC1,191.999,C5H5I,(iodoethynyl)cyclopropane,IC#CC1CC1,"InChI=1S/C5H5I/c6-4-3-5-1-2-5/h5H,1-2H2",InChIKey=OSVKYZQZFFKDMI-UHFFFAOYSA-N
IC(C1=CC1)=C,C=C(I)C1=CC1,191.999,C5H5I,1-(1-iodovinyl)cycloprop-1-ene,IC(C1=CC1)=C,"InChI=1S/C5H5I/c1-4(6)5-2-3-5/h2H,1,3H2",InChIKey=ZSEQBRTVUPUNTK-UHFFFAOYSA-N
IC=CC1=CC1,IC=CC1=CC1,191.999,C5H5I,1-(2-iodovinyl)cycloprop-1-ene,IC=CC1=CC1,"InChI=1S/C5H5I/c6-4-3-5-1-2-5/h1,3-4H,2H2",InChIKey=WUQMQRYQBZEMOJ-UHFFFAOYSA-N
IC1(C#C)CC1,C#CC1(I)CC1,191.999,C5H5I,1-ethynyl-1-iodocyclopropane,IC1(C#C)CC1,"InChI=1S/C5H5I/c1-2-5(6)3-4-5/h1H,3-4H2",InChIKey=GVQQHNFZAWITFB-UHFFFAOYSA-N
IC1CC1C#C,C#CC1CC1I,191.999,C5H5I,1-ethynyl-2-iodocyclopropane,IC1CC1C#C,"InChI=1S/C5H5I/c1-2-4-3-5(4)6/h1,4-5H,3H2",InChIKey=GGNDRSMPPGZOQK-UHFFFAOYSA-N
C(I)=C(C)(C#C),C#CC(C)=CI,191.999,C5H5I,1-iodo-2-methylbut-1-en-3-yne,C(I)=C(C)(C#C),"InChI=1S/C5H5I/c1-3-5(2)4-6/h1,4H,2H3",InChIKey=HKVMMXJYOYNZOX-UHFFFAOYSA-N
IC(C1)=C1C=C,C=CC1=C(I)C1,191.999,C5H5I,1-iodo-2-vinylcycloprop-1-ene,IC(C1)=C1C=C,"InChI=1S/C5H5I/c1-2-4-3-5(4)6/h2H,1,3H2",InChIKey=JQUHYGLRHOKOMD-UHFFFAOYSA-N
C=C(C1)(C=C1I),C=C1C=C(I)C1,191.999,C5H5I,1-iodo-3-methylenecyclobut-1-ene,C=C(C1)(C=C1I),"InChI=1S/C5H5I/c1-4-2-5(6)3-4/h2H,1,3H2",InChIKey=XZBBWEGIOIXMDG-UHFFFAOYSA-N
IC1=CC1C=C,C=CC1C=C1I,191.999,C5H5I,1-iodo-3-vinylcycloprop-1-ene,IC1=CC1C=C,"InChI=1S/C5H5I/c1-2-4-3-5(4)6/h2-4H,1H2",InChIKey=YEVLCUBPEXYCFL-UHFFFAOYSA-N
C=C(C1)(C(I)=C1),C=C1CC=C1I,191.999,C5H5I,1-iodo-4-methylenecyclobut-1-ene,C=C(C1)(C(I)=C1),"InChI=1S/C5H5I/c1-4-2-3-5(4)6/h3H,1-2H2",InChIKey=YAUXDMZDMMINKA-UHFFFAOYSA-N
IC12C=C1CC2,IC12C=C1CC2,191.999,C5H5I,1-iodobicyclo[2.1.0]pent-4-ene,IC12C=C1CC2,"InChI=1S/C5H5I/c6-5-2-1-4(5)3-5/h3H,1-2H2",InChIKey=HOJJVIMDIFETOU-UHFFFAOYSA-N
C(C=C1)(C(I)=C1),IC1=CC=CC1,191.999,C5H5I,"1-iodocyclopenta-1,3-diene",C(C=C1)(C(I)=C1),"InChI=1S/C5H5I/c6-5-3-1-2-4-5/h1-3H,4H2",InChIKey=KMIBEPKAWCWFMW-UHFFFAOYSA-N
C(C)#C(C=CI),CC#CC=CI,191.999,C5H5I,1-iodopent-1-en-3-yne,C(C)#C(C=CI),"InChI=1S/C5H5I/c1-2-3-4-5-6/h4-5H,1H3",InChIKey=LFNSJCBKEBASAQ-UHFFFAOYSA-N
C(C=CI)(C#C),C#CCC=CI,191.999,C5H5I,1-iodopent-1-en-4-yne,C(C=CI)(C#C),"InChI=1S/C5H5I/c1-2-3-4-5-6/h1,4-5H,3H2",InChIKey=QHBMHIKSPOECTI-UHFFFAOYSA-N
C(C)=C(C#CI),CC=CC#CI,191.999,C5H5I,1-iodopent-3-en-1-yne,C(C)=C(C#CI),"InChI=1S/C5H5I/c1-2-3-4-5-6/h2-3H,1H3",InChIKey=GZLZYOIRTVKMMZ-UHFFFAOYSA-N
IC1=CC12CC2,IC1=CC12CC2,191.999,C5H5I,1-iodospiro[2.2]pent-1-ene,IC1=CC12CC2,"InChI=1S/C5H5I/c6-4-3-5(4)1-2-5/h3H,1-2H2",InChIKey=ZXZUYUHWVCCTKR-UHFFFAOYSA-N
C=C(C#C)CI,C#CC(=C)CI,191.999,C5H5I,2-(iodomethyl)but-1-en-3-yne,C=C(C#C)CI,"InChI=1S/C5H5I/c1-3-5(2)4-6/h1H,2,4H2",InChIKey=HHIQXKFAJXXFJO-UHFFFAOYSA-N
IC1CC2=C1C2,IC1CC2=C1C2,191.999,C5H5I,2-iodobicyclo[2.1.0]pent-1(4)-ene,IC1CC2=C1C2,"InChI=1S/C5H5I/c6-5-2-3-1-4(3)5/h5H,1-2H2",InChIKey=DVNCRVDMKYWHSY-UHFFFAOYSA-N
IC1CC2=CC21,IC1CC2=CC21,191.999,C5H5I,2-iodobicyclo[2.1.0]pent-4-ene,IC1CC2=CC21,"InChI=1S/C5H5I/c6-5-2-3-1-4(3)5/h1,4-5H,2H2",InChIKey=YWCSGWHOJYMJOV-UHFFFAOYSA-N
C(C=C1)(C=C1I),IC1=CCC=C1,191.999,C5H5I,"2-iodocyclopenta-1,3-diene",C(C=C1)(C=C1I),"InChI=1S/C5H5I/c6-5-3-1-2-4-5/h1,3-4H,2H2",InChIKey=PGQCMNXDZOLRQA-UHFFFAOYSA-N
C(C)#C(C(I)=C),C=C(I)C#CC,191.999,C5H5I,2-iodopent-1-en-3-yne,C(C)#C(C(I)=C),"InChI=1S/C5H5I/c1-3-4-5(2)6/h2H2,1H3",InChIKey=BVGOFDDCCDJSNP-UHFFFAOYSA-N
IC(CC#C)=C,C#CCC(=C)I,191.999,C5H5I,2-iodopent-1-en-4-yne,IC(CC#C)=C,"InChI=1S/C5H5I/c1-3-4-5(2)6/h1H,2,4H2",InChIKey=KIOJDOZWUBSXGA-UHFFFAOYSA-N
IC(C1C=C1)=C,C=C(I)C1C=C1,191.999,C5H5I,3-(1-iodovinyl)cycloprop-1-ene,IC(C1C=C1)=C,"InChI=1S/C5H5I/c1-4(6)5-2-3-5/h2-3,5H,1H2",InChIKey=QRCGEAWJNGYTBD-UHFFFAOYSA-N
